Loyalty#,Province or State,City,Latitude,Longitude,Postal code,Gender,Education,Location Code,Income,Marital Status,LoyaltyStatus,CancellationDate,Customer Lifetime Value,EnrollmentType,FullName,year,month,day
480934,Ontario,Toronto,43.653225,-79.383186,M2Z 4K1,female,Bachelor,Urban,70146.0,Married,Star,,3839.14,Standard,Cecilia Householder,2019,2,15
549612,Alberta,Edmonton,53.544388,-113.49093,T3G 6Y6,male,College,Rural,0.0,Divorced,Star,,3839.61,Standard,Dayle Menez,2019,3,9
429460,British Columbia,Vancouver,49.28273,-123.12074,V6E 3D9,male,College,Urban,0.0,Single,Star,1/8/2021,3839.75,Standard,Necole Hannon,2017,7,14
608370,Ontario,Toronto,43.653225,-79.383186,P1W 1K4,male,College,Suburban,0.0,Single,Star,,3839.75,Standard,Queen Hagee,2016,2,17
530508,Quebec,Hull,45.42873,-75.713364,J8Y 3Z5,male,Bachelor,Suburban,97832.0,Married,Star,,3842.79,2021 Promotion,Claire Latting,2017,10,25
193662,Yukon,Whitehorse,60.721188,-135.05684,Y2K 6R0,male,Bachelor,Rural,26262.0,Married,Star,,3844.57,Standard,Leatrice Hanlin,2015,5,7
927943,Ontario,Toronto,43.653225,-79.383186,P5S 6R4,female,College,Urban,0.0,Single,Star,,3857.95,Standard,Hue Sellner,2017,6,9
188893,Ontario,Trenton,44.101128,-77.576309,K8V 4B2,male,Bachelor,Suburban,93272.0,Married,Star,,3861.49,Standard,Nakia Cash,2019,12,8
852392,Quebec,Montreal,45.50169,-73.567253,H2Y 2W2,female,Bachelor,Suburban,93272.0,Married,Star,,3861.49,Standard,Arlene Conterras,2018,5,30
866307,Ontario,Toronto,43.653225,-79.383186,M8Y 4K8,male,Bachelor,Suburban,93272.0,Married,Star,,3861.49,Standard,Dustin Recine,2019,10,14
932823,British Columbia,Vancouver,49.28273,-123.12074,V6E 3D9,female,Bachelor,Suburban,47199.0,Married,Star,,3863.31,Standard,Jeremy Dickason,2018,3,17
